YEAR,NFIREID,FIRECAUS,BURNCLAS,AGENCY,POLY_HA,ADJ_HA,fire_area,latitude,longitude
1987,136,Human,Full 75-100%,BC,19.2014358453,21.5486546113,18.866327329435713,51.44732129026259,-123.82973435135875
1987,137,Human,Full 75-100%,BC,74.3258732569,79.1672174227,72.92175905554973,51.67000000842254,-123.23000000077465
1987,138,Human,Full 75-100%,BC,81.0076730355,88.31800435900001,79.46757853295236,51.68333334371563,-123.33634379008963
1987,142,Human,Full 75-100%,BC,22.730986366,25.3441060651,22.433541343313635,50.793699752196964,-126.34543240062553
1987,146,Human,Full 75-100%,BC,5.01463989936,5.92687093101,4.901821705243436,52.24561716160746,-121.94305392719136
1987,147,Human,Full 75-100%,BC,158.503250065,163.96557177,154.82983558658125,52.35684252582696,-121.561588868589
1987,149,Lightning,Full 75-100%,BC,1835.08563744,1835.08563744,1804.1340934911418,51.357817893660176,-124.86783043118966
1987,150,Human,Full 75-100%,BC,175.616809969,180.951599391,173.81722425849316,50.38509002774298,-127.93172357015087
1987,151,Human,Full 75-100%,BC,15.5619342471,17.606449274,15.202867535365431,52.34000000775175,-121.84999999875248
1987,153,Human,Full 75-100%,BC,39.7958798605,43.4222103351,38.718618358905275,53.01622834056714,-119.69342688022188
1987,155,Human,Full 75-100%,BC,240.632839636,240.632839636,234.08064344750335,53.04400394633059,-119.79655016646987
1987,156,Human,Full 75-100%,BC,121.164693346,126.646183485,118.52507939633084,52.1298110314442,-123.24158050890298
1987,158,Human,Full 75-100%,BC,137.067579971,142.588384953,135.1614136450664,50.914229568547455,-127.17508907405498
1987,160,Human,Full 75-100%,BC,105.116014368,110.475490622,102.37813255075002,52.8394180343967,-121.15476547333441
1987,162,Human,Full 75-100%,BC,79.4405961015,84.3980910347,77.59810474707558,52.35973118063995,-123.10614104804519
1987,163,Lightning,Full 75-100%,BC,195.671894349,195.671894349,192.0324192515562,51.6245935027781,-125.50649478688182
1987,168,Human,Full 75-100%,BC,233.847177465,238.303096754,227.18949513408086,53.26268630428139,-120.271624452801
1987,169,Lightning,Full 75-100%,BC,6.72274798546,6.72274798546,6.595689576766676,51.67131309339538,-126.05795211773452
1987,170,Lightning,Full 75-100%,BC,356.324888968,356.324888968,347.49357426648646,52.62489351395491,-122.95470483784379
1987,172,Human,Full 75-100%,BC,104.611594568,109.965760976,101.81650774055163,52.95527840097341,-121.85787790908597
1987,173,Human,Full 75-100%,BC,72.7987270063,77.6027382269,71.15493738934676,52.25905942654713,-124.29406902420595
1987,176,Human,Full 75-100%,BC,34.2848347119,37.6247636901,33.363900389071866,52.98000000689062,-122.1400000005336
1987,179,Human,Full 75-100%,BC,69.2017751772,73.9127975817,67.16047595592308,53.446920539085205,-120.64124184303155
1987,181,Human,Full 75-100%,BC,105.692942986,111.058376691,102.54499487489952,53.498771757751186,-120.47857346306492
1987,183,Human,Full 75-100%,BC,148.556756015,154.061079218,144.27274589343872,53.32821384252508,-121.27904135099222
1987,186,Human,Full 75-100%,BC,128.104878699,133.612875194,124.46249184453733,53.25601913240261,-121.75178062435623
1987,190,Human,Full 75-100%,BC,10.0357040448,11.5480136669,9.746297134939887,53.32834237619917,-121.62494633850895
1987,192,Human,Full 75-100%,BC,129.185749293,134.696543291,125.41654124477243,53.38902384255896,-121.48152156407345
1987,193,Human,Full 75-100%,BC,115.997864525,121.449657839,113.02591558621947,52.7666121559658,-123.77220843593989
1987,197,Human,Full 75-100%,BC,60.9525165099,65.4215941162,59.15600452218576,53.442641734976945,-121.42229812419878
1987,199,Human,Full 75-100%,BC,38.9188644304,42.5018083884,37.90642270953664,52.833862067903446,-123.91653473995248
1987,200,Human,Full 75-100%,BC,19.6284136709,19.6284136709,19.031375330108446,53.61432963526973,-121.14108341598406
1987,202,Human,Full 75-100%,BC,9.93507076363,11.4366622307,9.62862380905466,53.69312069477787,-120.99119409459979
1987,204,Lightning,Full 75-100%,BC,120.155737218,125.632111671,116.62026602245884,53.433616949002726,-122.13352123058712
1987,206,Human,Full 75-100%,BC,213.751672636,218.581198035,207.3365435182246,53.54028237543194,-121.89456091174495
1987,211,Human,Full 75-100%,BC,118.834614611,124.30379329,114.99144435762132,53.97306923248471,-120.58105847958461
1987,212,Human,Full 75-100%,BC,99.4213611304,99.4213611304,96.34385204570536,53.713353472842186,-121.69286730576255
1987,214,Human,Full 75-100%,BC,18.8413216596,21.1599718595,18.294720948406226,53.35921355143311,-123.37200593025024
1987,218,Human,Full 75-100%,BC,10.7854549404,12.3762915793,10.48640209994436,53.131333369904624,-124.39378710678973
1987,219,Human,Full 75-100%,BC,58.8414102998,63.2416585687,57.22313521957621,53.09180344427904,-124.52914271491888
1987,220,Human,Full 75-100%,BC,74.7092898449,79.5598113269,72.32082258610085,53.90307870609084,-121.75280317916982
1987,221,Human,Full 75-100%,BC,28.0710126145,31.0442206861,27.313337186494575,53.00257937320573,-124.92052999767628
1987,227,Human,Full 75-100%,BC,11.6125736953,13.2874707537,11.23788673484164,53.95891431262063,-122.27683743259031
1987,228,Lightning,Full 75-100%,BC,445.007300754,445.007300754,431.7397931579395,53.504266939977015,-123.89657054594186
1987,229,Human,Full 75-100%,BC,45.009766004,48.8784504782,43.54181735204859,54.02506204481371,-122.2286132483653
1987,230,Human,Full 75-100%,BC,180.725707434,186.009759501,175.6400316145024,53.204142782523306,-125.10905688207703
1987,233,Human,Full 75-100%,BC,6738.33436314,6738.33436314,6500.289337486905,54.55512150380146,-120.53086705987619
1987,234,Lightning,Full 75-100%,BC,116.816642895,122.273727835,113.10691157364866,53.86298908916798,-123.48017618690702
1987,235,Lightning,Full 75-100%,BC,1013.18532923,1013.18532923,981.9188414691987,53.69585482113577,-124.07341604981086
1987,239,Lightning,Full 75-100%,BC,86.9882992572,92.0937108401,83.96935073456324,54.431175799388846,-121.96465892015198
1987,241,Lightning,Full 75-100%,BC,50.280331972,54.3692268088,48.541149586062986,54.408345668156656,-122.24063733484206
1987,247,Human,Full 75-100%,BC,61.7038789658,66.1967455482,59.502650506613286,54.62489129653869,-122.42270435089002
1987,248,Human,Full 75-100%,BC,716.189886558,698.987220122,688.9625837629331,55.10927008864102,-120.70993119366202
1987,249,Human,Full 75-100%,BC,11.6354264286,13.3126096354,11.260379539565308,53.952739721091525,-125.40912286526601
1987,252,Human,Full 75-100%,BC,66.1198491188,70.7453171596,63.945747046517475,54.0761042045667,-125.4425813943916
1987,253,Lightning,Full 75-100%,BC,28.5864727991,31.5920879275,27.539261860761883,54.82031277410542,-123.1022987426131
1987,254,Human,Full 75-100%,BC,4.81107919457,5.69537947058,4.635292632356471,54.80072304983534,-123.22483428588097
1987,255,Human,Full 75-100%,BC,195.735241322,195.735241322,188.02168695421446,55.40880980712819,-120.94450721124325
1987,256,Human,Full 75-100%,BC,26.4419392025,29.310137913,25.50358267234928,54.58728457339874,-124.76216582122527
1987,258,Human,Full 75-100%,BC,155.235112698,160.713956058,149.15211249794498,55.36030514648298,-122.23244870134471
1987,259,Human,Full 75-100%,BC,45.4848485612,49.3743595751,43.65666199794884,55.58217416906499,-121.41709524234228
1987,260,Human,Full 75-100%,BC,60.7128598924,65.1742723513,58.54918686575908,54.61750549912703,-124.96258664147028
1987,261,Human,Full 75-100%,BC,71.1561188393,75.9185594502,68.30055574499642,55.56826643080129,-121.47721606540635
1987,262,Human,Full 75-100%,BC,532.502379579,525.688986475,510.932478330314,55.652300607708284,-121.14644546454304
1987,263,Human,Full 75-100%,BC,35.614304606,39.0264147863,34.3531918289798,54.57195879861142,-125.18956891273626
1987,268,Human,Full 75-100%,BC,30.615526728,33.7450718246,29.47399446270044,54.95560518167448,-124.45519016960196
1987,27,Human,Full 75-100%,BC,109.676124897,115.079376715,109.45863177641147,49.25805885916915,-115.25943869911518
1987,270,Human,Full 75-100%,BC,177.007689663,182.3292217,170.52793217330841,54.81497386466608,-125.02438764139582
1987,271,Human,Full 75-100%,BC,586.213745519,576.571216469,565.2062169401822,54.65759605669932,-125.80727836491658
1987,274,Human,Full 75-100%,BC,333.453717464,335.186780579,319.04458084193817,56.281703150331666,-121.19670011038554
1987,275,Human,Full 75-100%,BC,42.1695909866,45.9094755135,40.628952415341466,54.800000009171654,-126.75000000057014
1987,276,Human,Full 75-100%,BC,129.162020245,134.672756594,123.5289939137917,56.37886866973767,-121.12815187426673
1987,278,Human,Full 75-100%,BC,70.3702324203,75.1122554413,67.25642106524617,56.5358594880761,-121.27473997714458
1987,279,Human,Full 75-100%,BC,66.3075906212,70.9384307359,63.36266715699503,56.576828187884,-121.25946795806198
1987,280,Human,Full 75-100%,BC,13.6901301132,15.5655088246,13.1638418053679,55.20000000959163,-126.31999999873504
1987,281,Human,Full 75-100%,BC,15.5776284239,15.5776284239,14.879781806406172,56.67361703060833,-121.16432030681148
1987,282,Human,Full 75-100%,BC,6.66532528652,6.66532528652,6.3772165439030495,56.284905096744936,-123.08487243625004
1987,283,Human,Full 75-100%,BC,164.534937859,169.960016358,157.11507460818714,56.749390881293046,-121.25328056821411
1987,284,Human,Full 75-100%,BC,51.9168540269,56.0694954692,49.88539930349794,55.34795576341679,-127.112592951498
1987,285,Human,Full 75-100%,BC,17.2156190592,19.4016426835,16.482620011081053,56.13000000900346,-125.06999999951951
1987,286,Lightning,Full 75-100%,BC,381.851511152,381.834091286,366.2950035584766,55.70478754626825,-127.7167450270794
1987,287,Human,Full 75-100%,BC,63.2922505386,67.83421376,60.72424558885619,55.66737429636296,-127.94374904671031
1987,290,Lightning,Full 75-100%,BC,595.513501616,595.513501616,568.3364775304965,56.88866189719943,-126.25052476950677
1987,294,Human,Full 75-100%,BC,49.1409273284,53.184181963,46.69091791976809,58.07693699796844,-122.4407120842327
1987,302,Human,Full 75-100%,BC,18.4238095814,20.7089783643,17.46235135163896,58.83597610511855,-125.1451766213301
1987,32,Human,Full 75-100%,BC,99.3414081214,99.3414081214,99.07769855232684,49.346483928096966,-116.20983388676714
1987,34,Human,Full 75-100%,BC,180.943011851,186.224782405,180.1651011013869,49.56525303858284,-115.37739686733009
1987,35,Human,Full 75-100%,BC,13.8021897064,15.6879836513,13.762063590373023,49.379875532333244,-116.4581202707445
1987,36,Human,Full 75-100%,BC,22.7315986261,25.3447623688,22.63645798651458,49.550000274108825,-116.02999970146415
1987,38,Lightning,Full 75-100%,BC,468.838569639,465.119336573,467.82313704490633,49.28209029897381,-117.52970452519291
1987,39,Human,Full 75-100%,BC,87.7116311637,92.8298293177,87.20093667565105,49.77080962822424,-115.51002551747504
1987,404,Undefined,Full 75-100%,BC,31.8957235976,31.8957235976,31.288721528243013,51.69178286241656,-119.93375239501465
1987,41,Human,Full 75-100%,BC,39.9214559203,43.5539342709,39.794427503508466,49.41629628890486,-117.21261908541602
